year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description
2012;;land_area;Land area;km2;;;;Surigao del Sur;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Bislig City;;488,9;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Tandag City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;1804,3;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Basilan;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Lamitan City;;354,5;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Lanao del Sur;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Marawi City;;87,6;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;442,0;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Caloocan City;;53,3;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Las Piñas City;;41,5;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Makati City;;27,4;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Malabon City;;19,8;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Mandaluyong City;;21,3;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Manila;;38,6;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Marikina City;;21,5;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Muntinlupa;;46,7;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Navotas City;;10,8;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Parañaque;;47,7;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Pasay;;19,0;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Pasig City;;31,0;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Quezon City;;166,2;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;San Juan City;;5,9;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Taguig;;47,9;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Valenzuela;;47,0;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
